Teacher,Title/Subject,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Document Type,EID,
yao,Sound Tooth: Mobile Oral Health Exam Recording Using Individual Voice Recognition,2019,"Proceedings of 2019 4th International Conference on Information Technology: Encompassing Intelligent Technology and Innovation Towards the New Era of Human Life, InCIT 2019",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076757161&doi=10.1109%2fINCIT.2019.8911926&partnerID=40&md5=2b552bfeb05e05a7f48a723ea2ac2f67,"Detecting voice commands accurately are not simple tasks. Still, voice recognition applications are needed, i.e., voice instruction for devices in a smart home. To recognize well, many sample sounds must be used for training. To avoid the limitation of collecting many sampled sounds, the on-site training by the sound of smartphone users could be an alternative. 'Sound Tooth', a voice command mobile application, was designed according to 'trained by the user' concept. It helps dentists to record school children oral health examination. To record them, the dentists provide short selected tooth status in a form of chosen isolated words, either in Thai or English. For this work, we applied the voice recognizer, named CMU PocketSphinx API. The system has been tested two ways: SphinxTrainer and participants' testing. The system training result reports the WER = 8.8% (~ 91% accuracy). In the participants' test, we compare the system using the speaker independent acoustic model to individual's one. The test results show the accuracy can be improved from 68% in speaker independent model to 83.3% accuracy for individual one, giving 15% better. © 2019 IEEE.",dental exams; mobile application; PocketSphinx; voice command recognition,Automation; Dentistry; Mobile computing; Acoustic model; dental exams; Mobile applications; On-site training; PocketSphinx; Speaker independent model; Speaker independents; Voice command recognition; Speech recognition,Conference Paper,2-s2.0-85076757161,
ksc,Amdahl’s law of data compression for live migration of virtual machines,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076724563&doi=10.1145%2f3361821.3361836&partnerID=40&md5=1efbf441f9b955b7bd381c6949b2b865,"Data compression is usually perceived as a mean to help improve performance of live migration of Virtual Machines (VM). However, such perception may be wrong since there are many factors involved in the combination of live migration and data compression. This paper presents a novel performance model to describe the speedup of VM live migration when used in combination with data compression mechanisms, namely the Amdahl’s Law of data compression for live migration of VMs. The speedup is calculated by dividing the total live migration time when the migration is performed in combination with data compression by that without data compression. This model introduces live migration bandwidth as a new factor in the speedup calculation. The live migration bandwidth is the data transmission rate of a live migration mechanism. According to our model, the speedup of live migration using data compression would approach zero as the live migration bandwidth increases toward infinity. A set of theorems derived from the model are presented. A number of experiments have been conducted to confirm these theorems. In the experiments, QEMU-KVM’s pre-copy live migration is used to migrate VMs running several memory-intensive OpenMP NAS Parallel benchmarks with and without data compression. Live migrations are performed over 100 Mbps and 1 Gbps networks. Experimental results confirm the validity of the proposed Amdahl’s Law of data compression model. © 2019 Association for Computing Machinery.",Cloud Computing; Data Compression; Live Migration of Virtual Machines; Performance Evaluation; Virtual Machines,Application programming interfaces (API); Bandwidth; Bandwidth compression; Cloud computing; Computation theory; Internet of things; Network security; Virtual machine; Compression mechanism; Compression model; Data transmission rates; Improve performance; Live migrations; NAS parallel benchmarks; Performance Evaluation; Performance Model; Data compression,Conference Paper,2-s2.0-85076724563,
tpb,Multi-aspect embedding for attribute-aware trajectories,2019,Symmetry,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079672643&doi=10.3390%2fSYM11091149&partnerID=40&md5=e13c12346c889a7ffd2215feff6aa5de,"Motivated by the proliferation of trajectory data produced by advanced GPS-enabled devices, trajectory is gaining in complexity and beginning to embroil additional attributes beyond simply the coordinates. As a consequence, this creates the potential to define the similarity between two attribute-aware trajectories. However, most existing trajectory similarity approaches focus only on location based proximities and fail to capture the semantic similarities encompassed by these additional asymmetric attributes (aspects) of trajectories. In this paper, we propose multi-aspect embedding for attribute-aware trajectories (MAEAT), a representation learning approach for trajectories that simultaneously models the similarities according to their multiple aspects. MAEAT is built upon a sentence embedding algorithm and directly learns whole trajectory embedding via predicting the context aspect tokens when given a trajectory. Two kinds of token generation methods are proposed to extract multiple aspects from the raw trajectories, and a regularization is devised to control the importance among aspects. Extensive experiments on the benchmark and real-world datasets show the effectiveness and efficiency of the proposed MAEAT compared to the state-of-the-art and baseline methods. The results of MAEAT can well support representative downstream trajectory mining and management tasks, and the algorithm outperforms other compared methods in execution time by at least two orders of magnitude. © 2019 by the authors.",Multi-aspect embedding; Representation learning; Trajectory similarity computation,,Article,2-s2.0-85079672643,
pkl,Association extraction from functional testing scenarios,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072033688&doi=10.1145%2f3343147.3343151&partnerID=40&md5=d5418482600eec8a745c03fd29a268df,"In this paper, we propose an approach to extract association among software pages from functional test case scenarios. This knowledge helps us to re-design user interfaces of a software application for the purpose of usability. Initially, functional test case scenarios are applied to the association extraction approach. The association sets are then obtained and post-processed. The association is considered in two aspects including 1) all frequent pages association and 2) consecutive pages association. Both associations are used to simplify user interfaces of the software application. We demonstrate our proposed method with the Mobile Application Development Quiz in [7] as a case study. © 2019 Association for Computing Machinery.",Association mining; Association rule; Functional testing; User interface design,Application programs; Association rules; Extraction; Mobile computing; Software testing; Association mining; Functional test; Functional testing; Mobile application development; Software applications; User interface designs; User interfaces,Conference Paper,2-s2.0-85072033688,
ddp,Association extraction from functional testing scenarios,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072033688&doi=10.1145%2f3343147.3343151&partnerID=40&md5=d5418482600eec8a745c03fd29a268df,"In this paper, we propose an approach to extract association among software pages from functional test case scenarios. This knowledge helps us to re-design user interfaces of a software application for the purpose of usability. Initially, functional test case scenarios are applied to the association extraction approach. The association sets are then obtained and post-processed. The association is considered in two aspects including 1) all frequent pages association and 2) consecutive pages association. Both associations are used to simplify user interfaces of the software application. We demonstrate our proposed method with the Mobile Application Development Quiz in [7] as a case study. © 2019 Association for Computing Machinery.",Association mining; Association rule; Functional testing; User interface design,Application programs; Association rules; Extraction; Mobile computing; Software testing; Association mining; Functional test; Functional testing; Mobile application development; Software applications; User interface designs; User interfaces,Conference Paper,2-s2.0-85072033688,
ppr,Multi-Container Application Migration with Load Balanced and Adaptive Parallel TCP,2019,"2019 International Conference on High Performance Computing and Simulation, HPCS 2019",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092032758&doi=10.1109%2fHPCS48598.2019.9188218&partnerID=40&md5=220853f3ca8743d9abceac3c76c339e6,"Application migration in Wide Area Network (WAN) is needed in many scenarios: disaster recovery and service hand-off in edge cloud. Modern distributed applications are virtualized with multiple virtual machines or containers. This paper focuses on parallel multi-container migration in WAN environments by utilizing multiple TCP connections over a single direct path (a.k.a parallel TCP). Our application migration middleware framework utilizes a feedback controller to determine a proper number of parallel container migration (i.e., parallel window) based on changing network bandwidth. Then a middleware's scheduler selects migration requests for the parallel window to load balance multiple pairs of hosts. The goal of our migration is to achieve the best possible balance between optimizing the total migration time and average individual migration time. This differs from most existing live migration works that attempt to optimize mainly the down time. Our proposed framework is generalized and not restricted to any particular virtualization technology implementation. For performance evaluation, we conducted a WAN-emulated experiment in static and dynamic network settings. The performance evaluation results show that the total migration time using our feedback controller is less than that of the sequential migration by 32.7% in the static network, and 43.9% in the dynamic network. Moreover, while achieving total migration time comparable to that of the best fixed parallel migration window, our approach can reduce the average individual migration time by 62.7% in the dynamic network setting. © 2019 IEEE.",Application Migration; Container Migration; Feedback Controller; Load Balancing; Middleware; Parallel TCP Stream; Scheduling; VM Migration,Containers; Feedback control; Middleware; Transmission control protocol; Application migrations; Distributed applications; Evaluation results; Feedback controller; Individual migrations; Multiple TCP connections; Total migration time; Virtualization technologies; Wide area networks,Conference Paper,2-s2.0-85092032758,
ksc,An In-Memory Checkpoint-Restart Mechanism for a Cluster of Virtual Machines,2019,JCSSE 2019 - 16th International Joint Conference on Computer Science and Software Engineering: Knowledge Evolution Towards Singularity of Man-Machine Intelligence,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074226885&doi=10.1109%2fJCSSE.2019.8864198&partnerID=40&md5=fb421b38aa3be7dc10c283aa8c70d412,"A cluster of virtual machines can be used to execute parallel applications in Cloud Computing environments. However, the cloud infrastructure may fail at any time for a variety of reasons. Although a coordinated checkpointing capability at the hypervisor level is highly transparent to parallel applications, existing solutions still suffer from excessive checkpoint time and downtime. They also cause significant application execution delays due to packet loss. This paper introduces IMVCCR, a novel in-memory Checkpoint-Restart mechanism for a virtual cluster. IMVCCR consists of a framework that performs coordinated checkpointing for the entire cluster. It reduces checkpoint time and downtime by applying live migration and using main memory as transient checkpoint storage. IMVCCR also uses an efficient synchronization mechanism to reduce packet loss. Preliminary experiments show that IMVCCR generates very low checkpoint times and downtimes. It also incurs low overheads in the total execution time of parallel applications. © 2019 IEEE.",,Cloud computing; Maintenance; Network security; Packet loss; Virtual machine; Application execution; Checkpoint storages; Cloud computing environments; Cloud infrastructures; Coordinated checkpointing; Parallel application; Restart mechanism; Synchronization mechanisms; Cluster computing,Conference Paper,2-s2.0-85074226885,
tpb,Grid-based DBSCAN: Indexing and inference,2019,Pattern Recognition,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060972156&doi=10.1016%2fj.patcog.2019.01.034&partnerID=40&md5=105d6993bcf4a9ebc462f13dc911a017,"DBSCAN is one of clustering algorithms which can report arbitrarily-shaped clusters and noises without requiring the number of clusters as a parameter (unlike the other clustering algorithms, k-means, for example). Because the running time of DBSCAN has quadratic order of growth, i.e. O(n 2 ), research studies on improving its performance have been received a considerable amount of attention for decades. Grid-based DBSCAN is a well-developed algorithm whose complexity is improved to O(nlog n) in 2D space, while requiring Ω(n 4/3 ) to solve when dimension ≥ 3. However, we find that Grid-based DBSCAN suffers from two problems: neighbour explosion and redundancies in merging, which make the algorithms infeasible in high dimensional space. In this paper we first propose a novel algorithm called GDCF which utilizes bitmap indexing to support efficient neighbour grid queries. Second, based on the concept of union-find algorithm we devise a forest-like structure, called cluster forest, to alleviate the redundancies in the merging. Moreover, we find that running the cluster forest in different orders can lead to a different number of merging operations needed to perform in the merging step. We propose to perform the merging step in a uniform random order to optimize the number of merging operations. However, for high-density database, a bottleneck could be occurred, we further propose a low-density-first order to alleviate this bottleneck. The experiments resulted on both real-world and synthetic datasets demonstrate that the proposed algorithm outperforms the state-of-the-art exact/approximate DBSCAN and suggests a good scalability. © 2019 Elsevier Ltd",Density-based clustering; Grid-based DBSCAN; Union-find algorithm,Computational complexity; Forestry; Indexing (of information); Merging; Redundancy; Density-based Clustering; Grid-based; High dimensional spaces; Number of clusters; Research studies; State of the art; Synthetic datasets; Union find; K-means clustering,Article,2-s2.0-85060972156,
wdp,On Studying of Scalability in Single-Controller Software-Defined Networks,2019,"2019 11th International Conference on Knowledge and Smart Technology, KST 2019",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065079284&doi=10.1109%2fKST.2019.8687678&partnerID=40&md5=3bf9c62aed48438b044aa05401a59986,"Software-Defined Networks (SDN) introduce a new networking architecture that separates the control and data planes from each other. The SDN controller inside the control plane governs and monitors all network devices in the data plane using the OpenFlow protocol. The centralized manner of SDNs results in the well-known scalability problem. This paper studied the impact of network size increases to the service inside SDNs. The performance metrics used to indicate the quality of network service are end-To-end delays, throughput, and percentage of successful transmissions as network size increased. We focused on SDNs controlled by two market-leading controllers, namely OpenDaylight (ODL) and Open Network Operating System (ONOS). Our results indicated that increasing of network sizes impacted SDNs controlled and monitored by ODL and ONOS in a similar manner. However, we found that ODL and ONOS yielded different degree of scalability. © 2019 IEEE.",component; scalability; software-defined networks,Scalability; Software defined networking; component; Degree of scalability; End to end delay; Network services; Networking architecture; Performance metrics; Scalability problems; Single controllers; Controllers,Conference Paper,2-s2.0-85065079284,
lpp,Age differences in menu item selection for smartphone: The effects of icon background colors and icon symbols,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072219702&doi=10.1145%2f3328243.3328251&partnerID=40&md5=f4936282ee679760d788b83a8d8b1f8b,"Previous research found that icon background colors and symbols influenced menu selection time. However, the previous research did not consider non-generic users; especially, children and older adult users that have gathered momentum. Literature highlights the age-related differences in various dimensions, and how they are related to technology use. The purpose of the present study is to extend the previous research on the influence of icon background colors and symbols [1], by examining the age-related difference in smartphone menu item selection task, with the manipulation of icon background colors and icon symbols. A three-way ANOVA indicated that there are significant main effects of age group, background colors, and icon symbols, as well as high-order effects of the three variables. © 2019 Association for Computing Machinery.",Age difference; Background color; Children; Elderly; Icon; Menu; Mobile; Senior; Smartphone; Visual search,Human computer interaction; Smartphones; User interfaces; Age differences; Children; Elderly; Icon; Menu; Mobile; Senior; Visual search; Color,Conference Paper,2-s2.0-85072219702,
nth,Age differences in menu item selection for smartphone: The effects of icon background colors and icon symbols,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072219702&doi=10.1145%2f3328243.3328251&partnerID=40&md5=f4936282ee679760d788b83a8d8b1f8b,"Previous research found that icon background colors and symbols influenced menu selection time. However, the previous research did not consider non-generic users; especially, children and older adult users that have gathered momentum. Literature highlights the age-related differences in various dimensions, and how they are related to technology use. The purpose of the present study is to extend the previous research on the influence of icon background colors and symbols [1], by examining the age-related difference in smartphone menu item selection task, with the manipulation of icon background colors and icon symbols. A three-way ANOVA indicated that there are significant main effects of age group, background colors, and icon symbols, as well as high-order effects of the three variables. © 2019 Association for Computing Machinery.",Age difference; Background color; Children; Elderly; Icon; Menu; Mobile; Senior; Smartphone; Visual search,Human computer interaction; Smartphones; User interfaces; Age differences; Children; Elderly; Icon; Menu; Mobile; Senior; Visual search; Color,Conference Paper,2-s2.0-85072219702,
nth,A preliminary study to evaluate graphical passwords for older adults,2019,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072195206&doi=10.1145%2f3328243.3328255&partnerID=40&md5=31afc1c11d297ea2340b5e3c6766bdd3,"Picture-based authentication offers visual cues (e.g. images) that helps users recalling their passwords. Human facial images were utilized in making graphical passwords, as humans are better at remembering human faces than other types of images. Prior research found that users performed better with the partitioned facial images than with the full-face portrait images; nevertheless, age-related differences were not considered. This present research is a preliminary study to assess older adults’ understanding toward Passface and overall experimental procedure, by examining two levels of facial image presentation: full-face portrait image, and partitioned facial image. The results showed that the partitioned facial image aided memory and recall better than the full-face portrait image, which was reflected by registration time, authentication time and success rate. In general, majority of older adults were able to understand Passface and overall experimental procedure. © 2019 Association for Computing Machinery.",Authentication; Elderly; Graphical password; Older adults; Passface; Shoulder-surfing; Usable security,Human computer interaction; Elderly; Graphical password; Older adults; Passface; Shoulder surfing; Usable security; Authentication,Conference Paper,2-s2.0-85072195206,
lpp,The Influence of Icon Background Colors and Icon Symbols on Menu Item Selection for Smartphone,2019,NICS 2018 - Proceedings of 2018 5th NAFOSTED Conference on Information and Computer Science,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061905569&doi=10.1109%2fNICS.2018.8606854&partnerID=40&md5=f35b0fb4c886647d36dab2e321e6bf3d,"Pictorial-based designs are common for smartphone menu patterns; and the use of icons is prevalent. Icon symbols and icon background colors are two variables that contribute to icon usability. Using pictorial symbol has been a standard for icon design but using textual symbol has become more common [1]. Icon background colors also contribute to icon usability. Two common design decisions of background colors of a set of icons: multicolor, and one-color. Presently, no experimental research has been conducted to examine whether these the two variables influenced menu item selection on smartphone. This study investigated whether icon background colors and icon symbols affect menu selection time and satisfaction. A two-way ANOVA indicated that there were significant main effects of both icon background color and icon symbol, as well as an interaction effect of the two variables on menu selection time. © 2018 IEEE.",Background color; Icon; Menu; Mobile; Mobile HCI; Smartphone; Visual Search,Smartphones; Icon; Menu; Mobile; Mobile HCI; Visual search; Color,Conference Paper,2-s2.0-85061905569,
